"Date Printed: Wednesday, March 1, 2023 11:33:35 AM"
Title: "PrEP coverage and number of persons prescribed | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
"PrEP coverage and number of persons prescribed","2019","Montana","30","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2019","Montana","30","35-44","All races/ethnicities","Both sexes","All transmission categories","68","9.7","700"
"PrEP coverage and number of persons prescribed","2019","Montana","30","25-34","All races/ethnicities","Both sexes","All transmission categories","102","10.2","1,000"
"PrEP coverage and number of persons prescribed","2019","Montana","30","13-24","All races/ethnicities","Both sexes","All transmission categories","41","13.7","300"
"PrEP coverage and number of persons prescribed","2018","Montana","30","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","300"
"PrEP coverage and number of persons prescribed","2018","Montana","30","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2018","Montana","30","35-44","All races/ethnicities","Both sexes","All transmission categories","50","7.1","700"
"PrEP coverage and number of persons prescribed","2018","Montana","30","25-34","All races/ethnicities","Both sexes","All transmission categories","73","7.3","1,000"
"PrEP coverage and number of persons prescribed","2018","Montana","30","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","300"
"PrEP coverage and number of persons prescribed","2017","Montana","30","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","360"
"PrEP coverage and number of persons prescribed","2017","Montana","30","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","90"
"PrEP coverage and number of persons prescribed","2017","Montana","30","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","800"
"PrEP coverage and number of persons prescribed","2017","Montana","30","25-34","All races/ethnicities","Both sexes","All transmission categories","48","4.2","1,150"
"PrEP coverage and number of persons prescribed","2017","Montana","30","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","360"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","55+","All races/ethnicities","Both sexes","All transmission categories","48","28.2","170"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","45-54","All races/ethnicities","Both sexes","All transmission categories","79","21.9","360"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","35-44","All races/ethnicities","Both sexes","All transmission categories","130","33.3","390"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","25-34","All races/ethnicities","Both sexes","All transmission categories","249","31.1","800"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","13-24","All races/ethnicities","Both sexes","All transmission categories","113","24.0","470"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","170"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","45-54","All races/ethnicities","Both sexes","All transmission categories","74","20.6","360"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","35-44","All races/ethnicities","Both sexes","All transmission categories","95","24.4","390"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","25-34","All races/ethnicities","Both sexes","All transmission categories","179","22.4","800"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","470"
"PrEP coverage and number of persons prescribed","2017","Nebraska","31","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","180"
"PrEP coverage and number of persons prescribed","2017","Nebraska","31","45-54","All races/ethnicities","Both sexes","All transmission categories","55","22.9","240"
"PrEP coverage and number of persons prescribed","2017","Nebraska","31","35-44","All races/ethnicities","Both sexes","All transmission categories","73","12.4","590"
"PrEP coverage and number of persons prescribed","2017","Nebraska","31","25-34","All races/ethnicities","Both sexes","All transmission categories","133","13.3","1,000"
"PrEP coverage and number of persons prescribed","2017","Nebraska","31","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","590"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","55+","All races/ethnicities","Both sexes","All transmission categories","187","20.1","930"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","45-54","All races/ethnicities","Both sexes","All transmission categories","333","20.7","1,610"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","35-44","All races/ethnicities","Both sexes","All transmission categories","571","24.0","2,380"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","25-34","All races/ethnicities","Both sexes","All transmission categories","840","19.6","4,280"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","13-24","All races/ethnicities","Both sexes","All transmission categories","256","11.6","2,200"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","55+","All races/ethnicities","Both sexes","All transmission categories","106","11.4","930"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","45-54","All races/ethnicities","Both sexes","All transmission categories","264","16.4","1,610"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","35-44","All races/ethnicities","Both sexes","All transmission categories","398","16.7","2,380"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","25-34","All races/ethnicities","Both sexes","All transmission categories","548","12.8","4,280"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","13-24","All races/ethnicities","Both sexes","All transmission categories","165","7.5","2,200"
"PrEP coverage and number of persons prescribed","2017","Nevada","32","55+","All races/ethnicities","Both sexes","All transmission categories","82","8.5","970"
"PrEP coverage and number of persons prescribed","2017","Nevada","32","45-54","All races/ethnicities","Both sexes","All transmission categories","210","12.7","1,650"
"PrEP coverage and number of persons prescribed","2017","Nevada","32","35-44","All races/ethnicities","Both sexes","All transmission categories","267","13.0","2,050"
"PrEP coverage and number of persons prescribed","2017","Nevada","32","25-34","All races/ethnicities","Both sexes","All transmission categories","382","8.6","4,430"
"PrEP coverage and number of persons prescribed","2017","Nevada","32","13-24","All races/ethnicities","Both sexes","All transmission categories","106","6.0","1,760"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","55+","All races/ethnicities","Both sexes","All transmission categories","79","49.4","160"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","45-54","All races/ethnicities","Both sexes","All transmission categories","78","9.9","790"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","35-44","All races/ethnicities","Both sexes","All transmission categories","131","18.2","720"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","25-34","All races/ethnicities","Both sexes","All transmission categories","222","20.0","1,110"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","13-24","All races/ethnicities","Both sexes","All transmission categories","109","45.4","240"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","55+","All races/ethnicities","Both sexes","All transmission categories","64","40.0","160"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","45-54","All races/ethnicities","Both sexes","All transmission categories","69","8.7","790"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","35-44","All races/ethnicities","Both sexes","All transmission categories","107","14.9","720"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","25-34","All races/ethnicities","Both sexes","All transmission categories","180","16.2","1,110"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","13-24","All races/ethnicities","Both sexes","All transmission categories","78","32.5","240"
"PrEP coverage and number of persons prescribed","2017","New Hampshire","33","55+","All races/ethnicities","Both sexes","All transmission categories","43","11.3","380"
"PrEP coverage and number of persons prescribed","2017","New Hampshire","33","45-54","All races/ethnicities","Both sexes","All transmission categories","54","8.2","660"
"PrEP coverage and number of persons prescribed","2017","New Hampshire","33","35-44","All races/ethnicities","Both sexes","All transmission categories","67","8.9","750"
"PrEP coverage and number of persons prescribed","2017","New Hampshire","33","25-34","All races/ethnicities","Both sexes","All transmission categories","109","16.5","660"
"PrEP coverage and number of persons prescribed","2017","New Hampshire","33","13-24","All races/ethnicities","Both sexes","All transmission categories","48","7.3","660"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","55+","All races/ethnicities","Both sexes","All transmission categories","466","13.9","3,350"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","45-54","All races/ethnicities","Both sexes","All transmission categories","754","17.6","4,290"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","35-44","All races/ethnicities","Both sexes","All transmission categories","1,322","26.8","4,930"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","25-34","All races/ethnicities","Both sexes","All transmission categories","2,258","27.7","8,140"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","13-24","All races/ethnicities","Both sexes","All transmission categories","878","19.3","4,560"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","55+","All races/ethnicities","Both sexes","All transmission categories","340","10.1","3,350"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","45-54","All races/ethnicities","Both sexes","All transmission categories","656","15.3","4,290"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","35-44","All races/ethnicities","Both sexes","All transmission categories","1,074","21.8","4,930"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","25-34","All races/ethnicities","Both sexes","All transmission categories","1,857","22.8","8,140"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","13-24","All races/ethnicities","Both sexes","All transmission categories","659","14.5","4,560"
"PrEP coverage and number of persons prescribed","2017","New Jersey","34","55+","All races/ethnicities","Both sexes","All transmission categories","236","6.0","3,930"
"PrEP coverage and number of persons prescribed","2017","New Jersey","34","45-54","All races/ethnicities","Both sexes","All transmission categories","497","9.9","5,000"
"PrEP coverage and number of persons prescribed","2017","New Jersey","34","35-44","All races/ethnicities","Both sexes","All transmission categories","792","14.4","5,510"
"PrEP coverage and number of persons prescribed","2017","New Jersey","34","25-34","All races/ethnicities","Both sexes","All transmission categories","1,298","14.5","8,980"
"PrEP coverage and number of persons prescribed","2017","New Jersey","34","13-24","All races/ethnicities","Both sexes","All transmission categories","457","8.8","5,180"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","55+","All races/ethnicities","Both sexes","All transmission categories","139","19.3","720"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","45-54","All races/ethnicities","Both sexes","All transmission categories","139","11.9","1,170"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","35-44","All races/ethnicities","Both sexes","All transmission categories","250","19.5","1,280"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","25-34","All races/ethnicities","Both sexes","All transmission categories","374","14.9","2,510"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","13-24","All races/ethnicities","Both sexes","All transmission categories","170","15.3","1,110"
"PrEP coverage and number of persons prescribed","2018","New Mexico","35","55+","All races/ethnicities","Both sexes","All transmission categories","105","14.6","720"
"PrEP coverage and number of persons prescribed","2018","New Mexico","35","45-54","All races/ethnicities","Both sexes","All transmission categories","131","11.2","1,170"
"PrEP coverage and number of persons prescribed","2018","New Mexico","35","35-44","All races/ethnicities","Both sexes","All transmission categories","173","13.5","1,280"
"PrEP coverage and number of persons prescribed","2018","New Mexico","35","25-34","All races/ethnicities","Both sexes","All transmission categories","288","11.5","2,510"
"PrEP coverage and number of persons prescribed","2018","New Mexico","35","13-24","All races/ethnicities","Both sexes","All transmission categories","110","9.9","1,110"
"PrEP coverage and number of persons prescribed","2017","New Mexico","35","55+","All races/ethnicities","Both sexes","All transmission categories","76","11.3","670"
"PrEP coverage and number of persons prescribed","2017","New Mexico","35","45-54","All races/ethnicities","Both sexes","All transmission categories","99","12.1","820"
"PrEP coverage and number of persons prescribed","2017","New Mexico","35","35-44","All races/ethnicities","Both sexes","All transmission categories","146","9.5","1,530"
"PrEP coverage and number of persons prescribed","2017","New Mexico","35","25-34","All races/ethnicities","Both sexes","All transmission categories","205","10.4","1,970"
"PrEP coverage and number of persons prescribed","2017","New Mexico","35","13-24","All races/ethnicities","Both sexes","All transmission categories","85","4.9","1,730"
"PrEP coverage and number of persons prescribed","2019","New York","36","55+","All races/ethnicities","Both sexes","All transmission categories","2,441","25.9","9,410"
"PrEP coverage and number of persons prescribed","2019","New York","36","45-54","All races/ethnicities","Both sexes","All transmission categories","4,017","37.2","10,800"
"PrEP coverage and number of persons prescribed","2019","New York","36","35-44","All races/ethnicities","Both sexes","All transmission categories","8,566","61.9","13,840"
"PrEP coverage and number of persons prescribed","2019","New York","36","25-34","All races/ethnicities","Both sexes","All transmission categories","15,969","62.2","25,670"
"PrEP coverage and number of persons prescribed","2019","New York","36","13-24","All races/ethnicities","Both sexes","All transmission categories","4,309","33.4","12,920"
"PrEP coverage and number of persons prescribed","2018","New York","36","55+","All races/ethnicities","Both sexes","All transmission categories","1,864","19.8","9,410"
"PrEP coverage and number of persons prescribed","2018","New York","36","45-54","All races/ethnicities","Both sexes","All transmission categories","3,475","32.2","10,800"
"PrEP coverage and number of persons prescribed","2018","New York","36","35-44","All races/ethnicities","Both sexes","All transmission categories","7,060","51.0","13,840"
"PrEP coverage and number of persons prescribed","2018","New York","36","25-34","All races/ethnicities","Both sexes","All transmission categories","13,881","54.1","25,670"
"PrEP coverage and number of persons prescribed","2018","New York","36","13-24","All races/ethnicities","Both sexes","All transmission categories","3,764","29.1","12,920"
"PrEP coverage and number of persons prescribed","2017","New York","36","55+","All races/ethnicities","Both sexes","All transmission categories","1,322","16.2","8,180"
"PrEP coverage and number of persons prescribed","2017","New York","36","45-54","All races/ethnicities","Both sexes","All transmission categories","2,709","23.7","11,420"
"PrEP coverage and number of persons prescribed","2017","New York","36","35-44","All races/ethnicities","Both sexes","All transmission categories","5,234","36.1","14,500"
"PrEP coverage and number of persons prescribed","2017","New York","36","25-34","All races/ethnicities","Both sexes","All transmission categories","10,262","39.2","26,170"
"PrEP coverage and number of persons prescribed","2017","New York","36","13-24","All races/ethnicities","Both sexes","All transmission categories","2,974","21.0","14,180"
"PrEP coverage and number of persons prescribed","2019","North Carolina","37","55+","All races/ethnicities","Both sexes","All transmission categories","514","14.6","3,530"
"PrEP coverage and number of persons prescribed","2019","North Carolina","37","45-54","All races/ethnicities","Both sexes","All transmission categories","776","16.7","4,650"
"PrEP coverage and number of persons prescribed","2019","North Carolina","37","35-44","All races/ethnicities","Both sexes","All transmission categories","1,126","21.1","5,340"
"PrEP coverage and number of persons prescribed","2019","North Carolina","37","25-34","All races/ethnicities","Both sexes","All transmission categories","2,115","20.1","10,540"
"PrEP coverage and number of persons prescribed","2019","North Carolina","37","13-24","All races/ethnicities","Both sexes","All transmission categories","868","10.3","8,430"
"PrEP coverage and number of persons prescribed","2018","North Carolina","37","55+","All races/ethnicities","Both sexes","All transmission categories","390","11.0","3,530"
"PrEP coverage and number of persons prescribed","2018","North Carolina","37","45-54","All races/ethnicities","Both sexes","All transmission categories","630","13.5","4,650"
"PrEP coverage and number of persons prescribed","2018","North Carolina","37","35-44","All races/ethnicities","Both sexes","All transmission categories","794","14.9","5,340"
"PrEP coverage and number of persons prescribed","2018","North Carolina","37","25-34","All races/ethnicities","Both sexes","All transmission categories","1,610","15.3","10,540"
"PrEP coverage and number of persons prescribed","2018","North Carolina","37","13-24","All races/ethnicities","Both sexes","All transmission categories","592","7.0","8,430"
"PrEP coverage and number of persons prescribed","2017","North Carolina","37","55+","All races/ethnicities","Both sexes","All transmission categories","257","6.9","3,750"
"PrEP coverage and number of persons prescribed","2017","North Carolina","37","45-54","All races/ethnicities","Both sexes","All transmission categories","453","10.5","4,330"
"PrEP coverage and number of persons prescribed","2017","North Carolina","37","35-44","All races/ethnicities","Both sexes","All transmission categories","543","10.2","5,330"
"PrEP coverage and number of persons prescribed","2017","North Carolina","37","25-34","All races/ethnicities","Both sexes","All transmission categories","979","8.6","11,420"
"PrEP coverage and number of persons prescribed","2017","North Carolina","37","13-24","All races/ethnicities","Both sexes","All transmission categories","354","4.3","8,280"
"PrEP coverage and number of persons prescribed","2019","North Dakota","38","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","80"
"PrEP coverage and number of persons prescribed","2019","North Dakota","38","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","170"
"PrEP coverage and number of persons prescribed","2019","North Dakota","38","35-44","All races/ethnicities","Both sexes","All transmission categories","51","12.1","420"
"PrEP coverage and number of persons prescribed","2019","North Dakota","38","25-34","All races/ethnicities","Both sexes","All transmission categories","74","11.0","670"
"PrEP coverage and number of persons prescribed","2019","North Dakota","38","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","170"
"PrEP coverage and number of persons prescribed","2018","North Dakota","38","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","80"
"PrEP coverage and number of persons prescribed","2018","North Dakota","38","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","170"
"PrEP coverage and number of persons prescribed","2018","North Dakota","38","35-44","All races/ethnicities","Both sexes","All transmission categories","42","10.0","420"
"PrEP coverage and number of persons prescribed","2018","North Dakota","38","25-34","All races/ethnicities","Both sexes","All transmission categories","65","9.7","670"
"PrEP coverage and number of persons prescribed","2018","North Dakota","38","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","170"
"PrEP coverage and number of persons prescribed","2017","North Dakota","38","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2017","North Dakota","38","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","200"
"PrEP coverage and number of persons prescribed","2017","North Dakota","38","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2017","North Dakota","38","25-34","All races/ethnicities","Both sexes","All transmission categories","43","8.1","530"
"PrEP coverage and number of persons prescribed","2017","North Dakota","38","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","230"
"PrEP coverage and number of persons prescribed","2019","Ohio","39","55+","All races/ethnicities","Both sexes","All transmission categories","461","14.7","3,140"
"PrEP coverage and number of persons prescribed","2019","Ohio","39","45-54","All races/ethnicities","Both sexes","All transmission categories","815","14.7","5,530"
"PrEP coverage and number of persons prescribed","2019","Ohio","39","35-44","All races/ethnicities","Both sexes","All transmission categories","1,355","17.3","7,840"
"PrEP coverage and number of persons prescribed","2019","Ohio","39","25-34","All races/ethnicities","Both sexes","All transmission categories","2,457","17.0","14,480"
"PrEP coverage and number of persons prescribed","2019","Ohio","39","13-24","All races/ethnicities","Both sexes","All transmission categories","1,039","11.1","9,330"
"PrEP coverage and number of persons prescribed","2018","Ohio","39","55+","All races/ethnicities","Both sexes","All transmission categories","351","11.2","3,140"
"PrEP coverage and number of persons prescribed","2018","Ohio","39","45-54","All races/ethnicities","Both sexes","All transmission categories","659","11.9","5,530"
"PrEP coverage and number of persons prescribed","2018","Ohio","39","35-44","All races/ethnicities","Both sexes","All transmission categories","1,054","13.4","7,840"
"PrEP coverage and number of persons prescribed","2018","Ohio","39","25-34","All races/ethnicities","Both sexes","All transmission categories","1,923","13.3","14,480"
"PrEP coverage and number of persons prescribed","2018","Ohio","39","13-24","All races/ethnicities","Both sexes","All transmission categories","768","8.2","9,330"
"PrEP coverage and number of persons prescribed","2017","Ohio","39","55+","All races/ethnicities","Both sexes","All transmission categories","264","7.7","3,420"
"PrEP coverage and number of persons prescribed","2017","Ohio","39","45-54","All races/ethnicities","Both sexes","All transmission categories","519","9.2","5,630"
"PrEP coverage and number of persons prescribed","2017","Ohio","39","35-44","All races/ethnicities","Both sexes","All transmission categories","787","11.7","6,750"
"PrEP coverage and number of persons prescribed","2017","Ohio","39","25-34","All races/ethnicities","Both sexes","All transmission categories","1,369","9.0","15,130"
"PrEP coverage and number of persons prescribed","2017","Ohio","39","13-24","All races/ethnicities","Both sexes","All transmission categories","545","5.4","10,010"
"PrEP coverage and number of persons prescribed","2019","Oklahoma","40","55+","All races/ethnicities","Both sexes","All transmission categories","108","16.1","670"
"PrEP coverage and number of persons prescribed","2019","Oklahoma","40","45-54","All races/ethnicities","Both sexes","All transmission categories","155","11.2","1,380"
"PrEP coverage and number of persons prescribed","2019","Oklahoma","40","35-44","All races/ethnicities","Both sexes","All transmission categories","275","10.0","2,760"
"PrEP coverage and number of persons prescribed","2019","Oklahoma","40","25-34","All races/ethnicities","Both sexes","All transmission categories","445","11.5","3,860"
"PrEP coverage and number of persons prescribed","2019","Oklahoma","40","13-24","All races/ethnicities","Both sexes","All transmission categories","176","7.5","2,360"
"PrEP coverage and number of persons prescribed","2018","Oklahoma","40","55+","All races/ethnicities","Both sexes","All transmission categories","81","12.1","670"
"PrEP coverage and number of persons prescribed","2018","Oklahoma","40","45-54","All races/ethnicities","Both sexes","All transmission categories","138","10.0","1,380"
"PrEP coverage and number of persons prescribed","2018","Oklahoma","40","35-44","All races/ethnicities","Both sexes","All transmission categories","195","7.1","2,760"
"PrEP coverage and number of persons prescribed","2018","Oklahoma","40","25-34","All races/ethnicities","Both sexes","All transmission categories","302","7.8","3,860"
"PrEP coverage and number of persons prescribed","2018","Oklahoma","40","13-24","All races/ethnicities","Both sexes","All transmission categories","97","4.1","2,360"
"PrEP coverage and number of persons prescribed","2017","Oklahoma","40","55+","All races/ethnicities","Both sexes","All transmission categories","44","3.9","1,140"
"PrEP coverage and number of persons prescribed","2017","Oklahoma","40","45-54","All races/ethnicities","Both sexes","All transmission categories","97","5.4","1,800"
"PrEP coverage and number of persons prescribed","2017","Oklahoma","40","35-44","All races/ethnicities","Both sexes","All transmission categories","135","6.3","2,130"
"PrEP coverage and number of persons prescribed","2017","Oklahoma","40","25-34","All races/ethnicities","Both sexes","All transmission categories","195","5.0","3,930"
"PrEP coverage and number of persons prescribed","2017","Oklahoma","40","13-24","All races/ethnicities","Both sexes","All transmission categories","60","3.0","2,020"
"PrEP coverage and number of persons prescribed","2019","Oregon","41","55+","All races/ethnicities","Both sexes","All transmission categories","259","13.1","1,980"
"PrEP coverage and number of persons prescribed","2019","Oregon","41","45-54","All races/ethnicities","Both sexes","All transmission categories","499","17.5","2,850"
"PrEP coverage and number of persons prescribed","2019","Oregon","41","35-44","All races/ethnicities","Both sexes","All transmission categories","863","18.9","4,570"
"PrEP coverage and number of persons prescribed","2019","Oregon","41","25-34","All races/ethnicities","Both sexes","All transmission categories","1,337","18.0","7,420"
"PrEP coverage and number of persons prescribed","2019","Oregon","41","13-24","All races/ethnicities","Both sexes","All transmission categories","441","15.1","2,930"
"PrEP coverage and number of persons prescribed","2018","Oregon","41","55+","All races/ethnicities","Both sexes","All transmission categories","213","10.8","1,980"
"PrEP coverage and number of persons prescribed","2018","Oregon","41","45-54","All races/ethnicities","Both sexes","All transmission categories","398","14.0","2,850"
"PrEP coverage and number of persons prescribed","2018","Oregon","41","35-44","All races/ethnicities","Both sexes","All transmission categories","680","14.9","4,570"
"PrEP coverage and number of persons prescribed","2018","Oregon","41","25-34","All races/ethnicities","Both sexes","All transmission categories","1,110","15.0","7,420"
"PrEP coverage and number of persons prescribed","2018","Oregon","41","13-24","All races/ethnicities","Both sexes","All transmission categories","360","12.3","2,930"
"PrEP coverage and number of persons prescribed","2017","Oregon","41","55+","All races/ethnicities","Both sexes","All transmission categories","153","8.3","1,840"
"PrEP coverage and number of persons prescribed","2017","Oregon","41","45-54","All races/ethnicities","Both sexes","All transmission categories","319","10.4","3,060"
"PrEP coverage and number of persons prescribed","2017","Oregon","41","35-44","All races/ethnicities","Both sexes","All transmission categories","554","11.8","4,700"
"PrEP coverage and number of persons prescribed","2017","Oregon","41","25-34","All races/ethnicities","Both sexes","All transmission categories","807","10.5","7,660"
"PrEP coverage and number of persons prescribed","2017","Oregon","41","13-24","All races/ethnicities","Both sexes","All transmission categories","215","6.2","3,470"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","55+","All races/ethnicities","Both sexes","All transmission categories","816","19.4","4,210"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","45-54","All races/ethnicities","Both sexes","All transmission categories","1,211","23.2","5,210"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","35-44","All races/ethnicities","Both sexes","All transmission categories","2,151","34.6","6,210"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","25-34","All races/ethnicities","Both sexes","All transmission categories","4,143","32.5","12,730"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","13-24","All races/ethnicities","Both sexes","All transmission categories","1,785","22.0","8,130"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","55+","All races/ethnicities","Both sexes","All transmission categories","618","14.7","4,210"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","45-54","All races/ethnicities","Both sexes","All transmission categories","1,091","20.9","5,210"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","35-44","All races/ethnicities","Both sexes","All transmission categories","1,755","28.3","6,210"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","25-34","All races/ethnicities","Both sexes","All transmission categories","3,520","27.7","12,730"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","13-24","All races/ethnicities","Both sexes","All transmission categories","1,523","18.7","8,130"
"PrEP coverage and number of persons prescribed","2017","Pennsylvania","42","55+","All races/ethnicities","Both sexes","All transmission categories","422","11.0","3,830"
"PrEP coverage and number of persons prescribed","2017","Pennsylvania","42","45-54","All races/ethnicities","Both sexes","All transmission categories","798","15.1","5,280"
"PrEP coverage and number of persons prescribed","2017","Pennsylvania","42","35-44","All races/ethnicities","Both sexes","All transmission categories","1,271","17.8","7,130"
"PrEP coverage and number of persons prescribed","2017","Pennsylvania","42","25-34","All races/ethnicities","Both sexes","All transmission categories","2,531","21.9","11,580"
"PrEP coverage and number of persons prescribed","2017","Pennsylvania","42","13-24","All races/ethnicities","Both sexes","All transmission categories","1,061","12.7","8,350"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","55+","All races/ethnicities","Both sexes","All transmission categories","105","29.2","360"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","45-54","All races/ethnicities","Both sexes","All transmission categories","166","16.0","1,040"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","35-44","All races/ethnicities","Both sexes","All transmission categories","220","32.8","670"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","25-34","All races/ethnicities","Both sexes","All transmission categories","405","38.9","1,040"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","13-24","All races/ethnicities","Both sexes","All transmission categories","182","23.3","780"
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","55+","All races/ethnicities","Both sexes","All transmission categories","73","20.3","360"
